class	bin	value
emoji	0	565279.8476945971
emoji	1	463909.9723210253
emoji	2	303125.3322159197
emoji	3	152965.12867676996
emoji	4	61475.96875822629
emoji	5	52834.86536501488
emoji	6	37060.37651344748
emoji	7	19861.090502815074
emoji	8	17049.613245733806
emoji	9	12922.25027540599
emoji	10	10353.039284315893
emoji	11	10958.04398459469
emoji	12	7994.101546256258
emoji	13	4918.749938251702
emoji	14	6414.943534308394
emoji	15	5849.723700909025
emoji	16	3985.53549423124
emoji	17	3578.6857630706368
emoji	18	3761.5891772436494
emoji	19	3141.3239162293116
emoji	20	3070.035250868199
emoji	21	3126.096626950945
emoji	22	2794.0930252944354
emoji	23	2609.9336020530695
emoji	24	2380.9164942611974
emoji	25	2125.243462299222
emoji	26	1919.0921062314785
emoji	27	1762.8968641823599
emoji	28	1638.2707314381194
emoji	29	1619.0849772722017
emoji	30	1520.4450893475146
emoji	31	1410.3238476941083
emoji	32	1261.5402923314864
emoji	33	1200.7222006426423
emoji	34	1230.813566559321
emoji	35	1312.5418689495798
emoji	36	1162.0722313688525
emoji	37	1044.0821367185513
emoji	38	1160.0623566246525
emoji	39	1331.6315149642978
emoji	40	1270.404414142838
emoji	41	924.3320516668997
emoji	42	464.6570520005654
emoji	43	185.6364223900268
sphere	0	4169.0
sphere	1	3214.5929055032525
sphere	2	1768.465858370968
sphere	3	504.83215814218636
sphere	4	212.97651239411903
sphere	5	301.89990143070696
sphere	6	68.74504837966943
sphere	7	127.53855298916412
sphere	8	106.12262893508192
sphere	9	37.00352747010899
sphere	10	76.98180326298088
sphere	11	30.888053233316352
sphere	12	34.98320354834279
sphere	13	42.02138408746267
sphere	14	14.424487393981707
sphere	15	32.78762350273002
sphere	16	19.994680483162494
sphere	17	15.69405601157001
sphere	18	22.895695300112564
sphere	19	10.965189928667769
sphere	20	17.58690101139771
sphere	21	13.115537661064751
sphere	22	9.673594983340239
sphere	23	15.085371789806628
sphere	24	9.954251151986636
sphere	25	12.04002391324854
sphere	26	12.835257369208055
sphere	27	10.419661784825328
sphere	28	10.833321518738012
sphere	29	7.875838481471477
sphere	30	10.198832143250641
sphere	31	11.071562401382968
sphere	32	10.953771876194892
sphere	33	10.09927874315963
sphere	34	7.563218634394357
sphere	35	10.104633163909854
sphere	36	9.195816744023933
sphere	37	7.229933006874729
sphere	38	7.5752845692021085
sphere	39	6.916616139032975
sphere	40	7.898115390243916
sphere	41	11.534916190573648
sphere	42	9.457247598160457
sphere	43	41.60756730134786
emd3228	0	377.91196485728517
emd3228	1	380.2443262373762
emd3228	2	318.33334468698274
emd3228	3	186.05713301805824
emd3228	4	78.36201401795499
emd3228	5	60.5806451331719
emd3228	6	42.538670547025404
emd3228	7	25.595008561402867
emd3228	8	24.544027467867096
emd3228	9	21.154733442780014
emd3228	10	16.938472750781564
emd3228	11	13.59340713496328
emd3228	12	12.008798480183021
emd3228	13	11.188312827367211
emd3228	14	10.212171761896563
emd3228	15	9.495073840641432
emd3228	16	8.822414746036161
emd3228	17	8.094174290516603
emd3228	18	7.912059146946166
emd3228	19	7.733337848769891
emd3228	20	7.548011395117456
emd3228	21	7.421853731693838
emd3228	22	7.54127912109452
emd3228	23	7.652003596308596
emd3228	24	7.187531890623061
emd3228	25	6.6707659847347704
emd3228	26	6.191510325900199
emd3228	27	6.163935323179726
emd3228	28	5.87527900881436
emd3228	29	5.8655243978627345
emd3228	30	5.970465214525685
emd3228	31	5.927197003881896
emd3228	32	6.029202962774449
emd3228	33	5.859826087170874
emd3228	34	6.039520333644057
emd3228	35	6.257214056429169
emd3228	36	6.3923661487578896
emd3228	37	6.520637157264546
emd3228	38	6.04406934606325
emd3228	39	6.257705888349538
emd3228	40	5.856422414832651
emd3228	41	5.224552924025971
emd3228	42	5.784975653158332
emd3228	43	5.6819445411571845
