class	bin	value
emoji	0	2243.1678488541975
emoji	1	1879.6622939671474
emoji	2	1278.7179893077962
emoji	3	664.1590186698677
emoji	4	212.1522146896706
emoji	5	172.21030498048225
emoji	6	164.52952082515833
emoji	7	66.2487796540738
emoji	8	55.450174498785515
emoji	9	73.21812923197446
emoji	10	35.395315420329396
emoji	11	28.18409985217728
emoji	12	40.43197635426487
emoji	13	23.446260569867466
emoji	14	18.038797533097043
emoji	15	25.391319768930565
emoji	16	17.24823408276714
emoji	17	11.877188335491608
emoji	18	16.755105066411513
emoji	19	12.425775378044731
emoji	20	9.185823624780587
emoji	21	12.161607874264082
emoji	22	10.061898349084823
emoji	23	7.808193678922777
emoji	24	9.131028448214805
emoji	25	8.648225047732703
emoji	26	6.97088007252472
emoji	27	7.362011749535923
emoji	28	7.416398675988839
emoji	29	5.742039288612362
emoji	30	5.864856051508387
emoji	31	7.046545654072508
emoji	32	6.377243979610734
emoji	33	6.101671407874651
emoji	34	7.134592467101626
emoji	35	6.554053320456066
emoji	36	5.812319814563894
emoji	37	7.693019327189024
emoji	38	7.346336570509572
emoji	39	5.696497627656575
emoji	40	5.524907961644392
emoji	41	3.942955701565863
emoji	42	3.243762464489958
emoji	43	1.080091765489342
sphere	0	4169.0
sphere	1	3214.5929055032525
sphere	2	1768.465858370968
sphere	3	504.83215814218636
sphere	4	212.97651239411903
sphere	5	301.89990143070696
sphere	6	68.74504837966943
sphere	7	127.53855298916412
sphere	8	106.12262893508192
sphere	9	37.00352747010899
sphere	10	76.98180326298088
sphere	11	30.888053233316352
sphere	12	34.98320354834279
sphere	13	42.02138408746267
sphere	14	14.424487393981707
sphere	15	32.78762350273002
sphere	16	19.994680483162494
sphere	17	15.69405601157001
sphere	18	22.895695300112564
sphere	19	10.965189928667769
sphere	20	17.58690101139771
sphere	21	13.115537661064751
sphere	22	9.673594983340239
sphere	23	15.085371789806628
sphere	24	9.954251151986636
sphere	25	12.04002391324854
sphere	26	12.835257369208055
sphere	27	10.419661784825328
sphere	28	10.833321518738012
sphere	29	7.875838481471477
sphere	30	10.198832143250641
sphere	31	11.071562401382968
sphere	32	10.953771876194892
sphere	33	10.09927874315963
sphere	34	7.563218634394357
sphere	35	10.104633163909854
sphere	36	9.195816744023933
sphere	37	7.229933006874729
sphere	38	7.5752845692021085
sphere	39	6.916616139032975
sphere	40	7.898115390243916
sphere	41	11.534916190573648
sphere	42	9.457247598160457
sphere	43	41.60756730134786
emd3228	0	377.91196485728517
emd3228	1	380.2443262373762
emd3228	2	318.33334468698274
emd3228	3	186.05713301805824
emd3228	4	78.36201401795499
emd3228	5	60.5806451331719
emd3228	6	42.538670547025404
emd3228	7	25.595008561402867
emd3228	8	24.544027467867096
emd3228	9	21.154733442780014
emd3228	10	16.938472750781564
emd3228	11	13.59340713496328
emd3228	12	12.008798480183021
emd3228	13	11.188312827367211
emd3228	14	10.212171761896563
emd3228	15	9.495073840641432
emd3228	16	8.822414746036161
emd3228	17	8.094174290516603
emd3228	18	7.912059146946166
emd3228	19	7.733337848769891
emd3228	20	7.548011395117456
emd3228	21	7.421853731693838
emd3228	22	7.54127912109452
emd3228	23	7.652003596308596
emd3228	24	7.187531890623061
emd3228	25	6.6707659847347704
emd3228	26	6.191510325900199
emd3228	27	6.163935323179726
emd3228	28	5.87527900881436
emd3228	29	5.8655243978627345
emd3228	30	5.970465214525685
emd3228	31	5.927197003881896
emd3228	32	6.029202962774449
emd3228	33	5.859826087170874
emd3228	34	6.039520333644057
emd3228	35	6.257214056429169
emd3228	36	6.3923661487578896
emd3228	37	6.520637157264546
emd3228	38	6.04406934606325
emd3228	39	6.257705888349538
emd3228	40	5.856422414832651
emd3228	41	5.224552924025971
emd3228	42	5.784975653158332
emd3228	43	5.6819445411571845
