x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
312,912,414,,,1233,97.2162537850539,,,0.359183132648468,sphere,12
857,910,425,,,942,81.1541742610939,,,0.353276938199997,sphere,12
332,99,135,,,752,230.184708440852,,,0.338542968034744,sphere,12
442,888,428,,,781,75.8748970345265,,,0.336969345808029,sphere,12
356,827,402,,,1636,74.1956872061982,,,0.336507260799408,sphere,12
841,906,390,,,1033,43.4626276242015,,,0.334105372428894,sphere,12
457,879,443,,,781,89.095454429505,,,0.318367540836334,sphere,12
445,872,403,,,781,51.8748493973718,,,0.298773050308228,sphere,12
441,70,321,,,252,222.130592219982,,,0.281449049711227,sphere,12
225,850,406,,,346,44.6542271235322,,,0.279252618551254,sphere,12
153,775,392,743,31.7962261911693,743,31.7962261911693,Ribosome,31.7962261911693,0.278787165880203,sphere,12
799,622,186,,,1120,129.992307464711,,,0.275181829929352,sphere,12
641,431,338,,,1357,175.684376083931,,,0.271078079938889,sphere,12
310,15,126,,,340,315.836983268268,,,0.255811423063278,sphere,12
279,506,364,,,955,44.9555335859781,,,0.248825609683991,sphere,12
275,502,376,,,955,55.3985559378582,,,0.248162269592285,sphere,12
321,16,102,,,752,314.912686311619,,,0.247800096869469,sphere,12
874,738,187,,,99,48.8057373676497,,,0.24702063202858,sphere,12
879,632,190,,,1457,99.7196068985433,,,0.225480973720551,sphere,12
324,898,401,,,1233,77.5499838813652,,,0.225447788834572,sphere,12
814,753,189,,,653,47.2122865364515,,,0.2233577221632,sphere,12
873,727,204,,,99,30.0832179129826,,,0.223072662949562,sphere,12
490,784,388,,,878,51.1272921246569,Ribosome,51.1272921246569,0.216962829232216,sphere,12
763,698,191,,,913,77.987178433381,,,0.216810196638107,sphere,12
765,701,212,,,913,57.2363520850167,,,0.214542597532272,sphere,12
776,709,199,,,1342,64.2028036770981,,,0.213585585355759,sphere,12
859,705,200,,,99,41.5331193145904,,,0.209857419133186,sphere,12
333,846,429,,,1215,98.7420882906575,,,0.207502469420433,sphere,12
253,845,396,,,346,40.2367990774614,,,0.206087857484818,sphere,12
103,897,259,763,11.0453610171873,763,11.0453610171873,Ribosome,11.0453610171873,0.205802336335182,sphere,12
44,798,291,1209,8.30662386291808,1209,8.30662386291808,Ribosome,8.30662386291808,0.205726534128189,sphere,12
380,830,394,,,1448,61.4328902136307,,,0.20547690987587,sphere,12
890,670,187,,,1457,67.2755527662167,,,0.20532263815403,sphere,12
48,893,369,1468,28.1780056072107,896,19.672315572906,Ribosome,28.1780056072107,0.204868450760841,sphere,12
287,109,143,,,1645,241.720913451857,,,0.20050123333931,sphere,12
753,609,179,,,1620,110.353975913875,,,0.200461611151695,sphere,12
816,868,223,598,12.2065556157337,1385,10.295630140987,Ribosome,12.2065556157337,0.199860617518425,sphere,12
337,534,292,266,7.61577310586391,266,7.61577310586391,Ribosome,7.61577310586391,0.199341550469399,sphere,12
935,24,132,,,752,571.053412563133,,,0.199238747358322,sphere,12
639,810,315,96,7.81024967590665,96,7.81024967590665,Ribosome,7.81024967590665,0.198557704687119,sphere,12
881,802,253,493,11.4455231422596,493,11.4455231422596,Ribosome,11.4455231422596,0.196683198213577,sphere,12
407,717,299,1300,9.2736184954957,1300,9.2736184954957,Ribosome,9.2736184954957,0.195595741271973,sphere,12
379,415,281,1419,8.12403840463596,1419,8.12403840463596,Ribosome,8.12403840463596,0.193775981664658,sphere,12
295,825,394,,,1215,48.4355241532493,,,0.193399578332901,sphere,12
428,584,333,1130,4.24264068711929,1130,4.24264068711929,Ribosome,4.24264068711929,0.193354830145836,sphere,12
399,894,242,411,18.3575597506858,1277,3.3166247903554,Ribosome,18.3575597506858,0.193258464336395,sphere,12
