x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
776,788,203,868,129.197523196074,402,34.8425027803687,Ribosome,63.2613626157388,0.497690826654434,emd3228,8
453,43,362,,,252,260.917611517506,,,0.489346563816071,emd3228,8
876,771,197,818,55.3172667437573,1241,46.9574275274956,Ribosome,55.3172667437573,0.481828540563583,emd3228,8
152,772,408,743,46.0977222864644,743,46.0977222864644,Ribosome,46.0977222864644,0.478328824043274,emd3228,8
535,82,322,,,140,244.887729378179,,,0.469340860843658,emd3228,8
312,799,412,991,81.7618492941543,1215,74.1147758547511,Ribosome,81.7618492941543,0.467060804367065,emd3228,8
434,64,332,,,252,229.259678094514,,,0.465875446796417,emd3228,8
639,423,351,,,1357,181.069047603394,,,0.464591801166534,emd3228,8
845,894,385,1033,42.5440947723653,1033,42.5440947723653,Ribosome,42.5440947723653,0.462154030799866,emd3228,8
326,824,417,709,119.134377909989,1215,81.6884324736373,Ribosome,119.134377909989,0.460595518350601,emd3228,8
314,78,135,,,340,256.797585658433,,,0.460359901189804,emd3228,8
814,163,123,,,752,404.090336434813,,,0.45951771736145,emd3228,8
840,793,200,649,77.8074546557076,818,25.6320112359526,Ribosome,77.8074546557076,0.454236090183258,emd3228,8
485,781,389,878,51.0783711564885,878,51.0783711564885,Ribosome,51.0783711564885,0.4527707695961,emd3228,8
838,908,408,1604,137.568164921976,1033,59.6992462263972,Ribosome,137.568164921976,0.44999948143959,emd3228,8
437,887,425,872,86.6833317310774,781,74.1484996476665,Ribosome,86.6833317310774,0.447627454996109,emd3228,8
281,498,375,1579,87.3040663428686,955,53.6842621258782,Ribosome,87.3040663428686,0.445403307676315,emd3228,8
334,847,429,690,156.160174180231,1215,99.498743710662,Ribosome,140.843885206281,0.433875322341919,emd3228,8
641,390,353,,,1357,203.216633177503,,,0.430510640144348,emd3228,8
316,836,428,126,100.369318020997,1215,88.3742043811428,Ribosome,100.369318020997,0.428589463233948,emd3228,8
925,606,176,,,1457,121.934408597409,,,0.421901404857636,emd3228,8
661,708,200,1532,28.5832118559129,554,17.1464281994822,Ribosome,87.9886356298358,0.41887378692627,emd3228,8
834,905,388,793,62.2093240599832,1033,39.3064880140671,Ribosome,62.2093240599832,0.41685763001442,emd3228,8
547,161,142,,,752,180.080537538069,,,0.416752099990845,emd3228,8
633,408,352,,,1357,185.569394028218,,,0.415059626102448,emd3228,8
913,743,196,561,27.7488738510232,561,27.7488738510232,Ribosome,27.7488738510232,0.413333505392075,emd3228,8
413,125,324,,,252,166.451194047985,,,0.412653148174286,emd3228,8
291,114,140,,,1645,236.158844848123,,,0.400498270988464,emd3228,8
889,446,162,,,1457,279.356403184176,,,0.398888200521469,emd3228,8
328,893,400,1376,114.166545012101,1233,73.9053448676075,Ribosome,114.166545012101,0.391288578510284,emd3228,8
491,316,161,,,749,50.6951674225463,,,0.391142517328262,emd3228,8
805,785,200,402,48.0520551069359,620,37.868192457523,Ribosome,48.0520551069359,0.387675702571869,emd3228,8
685,167,137,,,752,283.697021485951,,,0.387617737054825,emd3228,8
435,876,402,1598,90.1387818865997,781,53.6842621258782,Ribosome,90.1387818865997,0.387487083673477,emd3228,8
452,879,403,1273,66.3777071011044,781,49.5277699881592,Ribosome,66.3777071011044,0.387435227632523,emd3228,8
664,267,151,,,749,227.248762372868,,,0.386728823184967,emd3228,8
825,582,177,,,99,160.956515866864,,,0.385249763727188,emd3228,8
618,616,365,1138,72.0971566707037,1137,42.8018691180654,Ribosome,72.0971566707037,0.384808212518692,emd3228,8
445,766,381,1044,55.7673739743948,1134,46.9680742632695,Ribosome,55.7673739743948,0.384107738733292,emd3228,8
323,116,137,,,752,219.647444783681,,,0.383604466915131,emd3228,8
330,20,120,,,752,304.648978334082,,,0.383573025465012,emd3228,8
603,31,122,,,752,320.413794958956,,,0.381200909614563,emd3228,8
522,214,326,,,140,145.550678459429,,,0.381144553422928,emd3228,8
860,526,170,,,1457,206.671236508615,,,0.379257589578629,emd3228,8
593,92,129,,,752,263.850336365145,,,0.378922879695892,emd3228,8
565,419,314,,,1498,118.566437072217,,,0.377831518650055,emd3228,8
336,630,206,1305,8.12403840463596,1305,8.12403840463596,Ribosome,8.12403840463596,0.377307265996933,emd3228,8
895,670,186,,,1457,66.060578259655,,,0.37702751159668,emd3228,8
316,909,415,887,136.400146627487,1233,94.8103369891701,Ribosome,136.400146627487,0.375984787940979,emd3228,8
302,896,403,100,108.581766425123,346,87.5671171159585,Ribosome,108.581766425123,0.37573230266571,emd3228,8
356,847,398,77,81.0493676718085,530,66.8206554891525,Ribosome,81.0493676718085,0.373549908399582,emd3228,8
253,486,371,1037,108.448144290255,955,55.1543289325507,Ribosome,108.448144290255,0.372257232666016,emd3228,8
328,808,255,1523,4.12310562561766,1523,4.12310562561766,Ribosome,4.12310562561766,0.371478527784348,emd3228,8
566,110,132,,,752,233.433073920557,,,0.371197164058685,emd3228,8
608,226,148,,,752,187.901569977475,,,0.370334327220917,emd3228,8
576,369,310,,,1431,144.478372083852,,,0.370089769363403,emd3228,8
920,29,157,,,752,554.451981690029,,,0.369997650384903,emd3228,8
435,298,261,,,140,28.6181760425084,,,0.36799156665802,emd3228,8
809,757,196,593,65.6810474946921,653,41.0487515035476,Ribosome,65.6810474946921,0.367853701114655,emd3228,8
150,737,330,1132,30.199337741083,1284,20.591260281974,Ribosome,20.591260281974,0.367200314998627,emd3228,8
838,21,262,,,340,496.109866864186,,,0.367166817188263,emd3228,8
