x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
151,773,401,,,743,39.3700393700591,Ribosome,39.3700393700591,0.402317106723785,emd3228,12
857,911,428,,,942,84.2140130857092,,,0.396683245897293,emd3228,12
841,910,400,,,1033,52.9622507074615,,,0.370504200458527,emd3228,12
278,503,369,,,955,48.7647413609464,,,0.3553187251091,emd3228,12
440,885,424,,,781,72.3049099301009,,,0.351428061723709,emd3228,12
641,430,346,,,1051,177.457037054043,,,0.344911068677902,emd3228,12
309,15,133,,,340,314.955552419703,,,0.337342470884323,emd3228,12
314,911,406,,,1233,89.9444272870754,,,0.336025714874268,emd3228,12
449,45,361,,,252,257.982557549924,,,0.331531345844269,emd3228,12
313,795,419,,,1215,81.8596359630313,,,0.328553080558777,emd3228,12
777,789,205,1275,34.0734500748016,402,32.8024389337135,Ribosome,34.0734500748016,0.325914323329926,emd3228,12
487,784,386,,,878,48.2597140480546,,,0.325791984796524,emd3228,12
445,868,402,872,58.5662018573853,781,51.9422756528822,Ribosome,58.5662018573853,0.324750900268555,emd3228,12
333,847,430,,,1215,99.8298552538268,,,0.324410796165466,emd3228,12
333,96,134,,,752,232.520966796545,,,0.322598338127136,emd3228,12
321,15,100,,,752,316.248320153641,,,0.319323390722275,emd3228,12
438,64,332,,,252,229.852126376938,,,0.318986147642136,emd3228,12
535,86,315,,,140,240.056243409748,,,0.317019999027252,emd3228,12
638,385,355,,,1357,204.887774159416,,,0.313677847385407,emd3228,12
812,753,195,653,41.4849370253831,653,41.4849370253831,Ribosome,41.4849370253831,0.313513427972794,emd3228,12
641,399,342,,,1357,195.184528075357,,,0.313355565071106,emd3228,12
253,491,369,,,955,53.2447180478966,,,0.31049382686615,emd3228,12
877,772,196,493,73.3348484691964,1241,46.6261729074991,Ribosome,73.3348484691964,0.302462518215179,emd3228,12
305,894,430,,,346,104.048065815757,,,0.302121549844742,emd3228,12
221,852,412,,,346,51.0489960724009,,,0.299289613962173,emd3228,12
