x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
769,563,178,,,1620,152.351567107135,,,0.796131908893585,emoji,2
739,22,282,,,140,421.504448375103,,,0.793053865432739,emoji,2
232,283,319,,,362,161.851784049482,,,0.790987968444824,emoji,2
294,557,337,1488,29.086079144498,1579,17.6635217326557,Ribosome,29.086079144498,0.775562405586243,emoji,2
65,16,310,,,252,431.91318572139,,,0.773609459400177,emoji,2
585,190,252,,,340,197.248574139333,,,0.770695447921753,emoji,2
712,143,296,,,140,335.064172957957,,,0.763503313064575,emoji,2
661,16,284,,,140,368.355806252596,,,0.76329630613327,emoji,2
425,291,270,245,72.5603197346869,140,16.6433169770932,Ribosome,72.5603197346869,0.762982368469238,emoji,2
593,92,48,,,752,287.503043462152,,,0.760944485664368,emoji,2
509,584,348,1568,36.4005494464026,1568,36.4005494464026,Ribosome,36.4005494464026,0.760044991970062,emoji,2
832,30,301,,,340,493.721581460645,,,0.759522259235382,emoji,2
781,200,295,,,749,374.49966622148,,,0.758741915225983,emoji,2
692,289,189,,,749,249.627722819402,,,0.758267223834992,emoji,2
681,711,244,918,27.2946881279124,765,8.36660026534076,Ribosome,27.2946881279124,0.757971346378326,emoji,2
349,629,229,1519,33.555923471125,610,13.6014705087354,Ribosome,33.555923471125,0.756437182426453,emoji,2
670,792,233,288,41.3037528561268,623,10.3923048454133,Ribosome,41.3037528561268,0.755598962306976,emoji,2
117,385,345,,,963,171.525508307074,,,0.75559002161026,emoji,2
816,128,292,,,340,431.497392807882,,,0.75246399641037,emoji,2
292,58,305,,,252,253.015809782709,,,0.751825511455536,emoji,2
541,47,347,,,140,283.488976858008,,,0.751690566539764,emoji,2
188,180,161,,,838,246.215352892544,,,0.750692427158356,emoji,2
896,400,80,,,1457,349.572596179964,,,0.749620139598846,emoji,2
807,302,309,,,339,378.119028878474,,,0.74816358089447,emoji,2
252,31,374,,,252,310.020967032877,,,0.747336089611054,emoji,2
400,858,84,703,158.432951118131,1486,152.793978938962,Ribosome,158.432951118131,0.747189581394196,emoji,2
766,560,266,,,477,135.037031957904,,,0.746474206447601,emoji,2
323,492,111,1584,135.240526470433,1524,88.8200427831467,Ribosome,135.240526470433,0.745997548103333,emoji,2
436,380,301,1244,35.4541958024717,722,31.1608729017658,Ribosome,35.4541958024717,0.745784401893616,emoji,2
551,95,353,,,140,252.091253319111,,,0.745277166366577,emoji,2
500,286,213,,,749,71.5891053163818,,,0.745020389556885,emoji,2
722,33,285,,,140,401.50840588959,,,0.744248509407044,emoji,2
64,777,191,1209,96.2912249376858,1538,58.172158288996,Ribosome,85.9825563704639,0.743953108787537,emoji,2
23,831,296,525,22.3159136044214,1403,18.9736659610103,Ribosome,22.3159136044214,0.74386590719223,emoji,2
254,426,114,760,138.170184917007,747,100.498756211209,Ribosome,138.170184917007,0.743815720081329,emoji,2
160,726,245,1401,46.5725240887801,1438,15.2643375224737,Ribosome,46.5725240887801,0.743034422397614,emoji,2
774,155,274,,,749,379.021107591649,,,0.742773950099945,emoji,2
619,585,335,1168,72.587877775838,1122,59.9749947894954,Ribosome,130.096118312577,0.742402374744415,emoji,2
156,252,227,,,1400,235.737141749025,,,0.74206006526947,emoji,2
862,33,217,,,752,504.730621222846,,,0.741606533527374,emoji,2
253,584,474,1347,178.218966442969,1037,129.34450123604,Ribosome,178.218966442969,0.74140328168869,emoji,2
921,560,331,,,175,169.449107403964,,,0.741315484046936,emoji,2
476,242,182,,,340,70.9788700952614,,,0.74021726846695,emoji,2
724,105,167,,,752,347.547119107611,,,0.740066051483154,emoji,2
489,549,413,1473,115.017389989514,1157,94.1541289588513,Ribosome,115.017389989514,0.739837527275085,emoji,2
691,173,298,,,140,304.185798485071,,,0.739816665649414,emoji,2
804,451,451,,,1129,285.588865329165,,,0.739030301570892,emoji,2
280,471,394,1253,101.97058399362,955,74.4916102658548,Ribosome,101.97058399362,0.738768637180328,emoji,2
667,25,86,,,752,368.734321700598,,,0.73862898349762,emoji,2
769,26,281,,,340,442.255582214629,,,0.738216042518616,emoji,2
643,133,449,,,252,332.882862280412,,,0.738130271434784,emoji,2
727,769,402,1286,108.471194332873,1034,58.7962583843564,Ribosome,108.471194332873,0.737630784511566,emoji,2
648,310,171,,,749,204.286563434799,,,0.737534761428833,emoji,2
907,104,285,,,749,519.940381197691,,,0.737473249435425,emoji,2
724,81,289,,,140,375.154634784111,,,0.73726898431778,emoji,2
453,502,382,968,89.6771988857814,956,64.1482657598785,Ribosome,89.6771988857814,0.737131953239441,emoji,2
658,577,200,290,78.4538080656382,290,78.4538080656382,Ribosome,78.4538080656382,0.737060904502869,emoji,2
532,485,214,825,48.0624593627917,1624,40.0749298190278,Ribosome,48.0624593627917,0.737012267112732,emoji,2
451,849,201,1486,29.5465734053883,1486,29.5465734053883,Ribosome,29.5465734053883,0.736968696117401,emoji,2
413,293,16,,,752,155.077400029792,,,0.736945152282715,emoji,2
