x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
553,323,155,,,749,112.049096381899,,,0.63997095823288,sphere,4
415,125,322,,,252,166.030117749763,,,0.608370900154114,sphere,4
874,769,198,30,60.4731345309634,1241,48.1040538832228,Ribosome,65.2226954364813,0.588028430938721,sphere,4
467,212,249,,,140,94.1647492430156,,,0.580282926559448,sphere,4
105,430,320,1145,156.313786979908,1217,145.760076838619,Ribosome,156.313786979908,0.56845885515213,sphere,4
661,644,193,1582,133.11649033835,860,26.229754097208,Ribosome,133.11649033835,0.568431794643402,sphere,4
457,174,263,,,140,120.577775730024,,,0.565008521080017,sphere,4
644,290,288,,,1601,228.635080422931,,,0.562140583992004,sphere,4
807,824,205,1408,40.6201920231798,402,37.1618083521241,Ribosome,40.6201920231798,0.560812473297119,sphere,4
843,485,192,,,1457,245.220309109992,,,0.558016896247864,sphere,4
232,682,268,1623,20.4694894904587,774,12.4096736459909,Ribosome,20.4694894904587,0.557701468467712,sphere,4
526,93,195,,,340,225.752076402411,,,0.557417273521423,sphere,4
821,30,263,,,340,477.395014636726,,,0.555121421813965,sphere,4
888,362,264,,,1457,357.00560219694,,,0.554062366485596,sphere,4
761,458,311,,,1219,230.813777751676,,,0.553408265113831,sphere,4
435,60,332,,,252,233.240219516275,,,0.551463007926941,sphere,4
794,812,299,1004,35.4823899984203,1252,13.9283882771841,Ribosome,35.4823899984203,0.550354599952698,sphere,4
395,118,280,,,252,166.195667813575,,,0.549711287021637,sphere,4
897,562,270,,,1386,159.455322896415,,,0.546568989753723,sphere,4
427,75,239,,,140,212.4099809331,,,0.545698285102844,sphere,4
736,592,267,1219,98.5596266226694,477,94.7100839404126,Ribosome,98.5596266226694,0.544754207134247,sphere,4
457,354,281,1182,45.4532727094541,1182,45.4532727094541,Ribosome,96.8452373635379,0.544326603412628,sphere,4
896,680,258,40,46.3465209050259,685,42.7668095606862,Ribosome,46.3465209050259,0.543744146823883,sphere,4
386,513,188,514,59.7411081249754,367,24.1867732448956,Ribosome,65.6505902486794,0.543632447719574,sphere,4
782,475,199,,,860,225.046661828164,,,0.541373193264008,sphere,4
798,651,328,1516,98.6813052203912,1542,70.4130669691358,Ribosome,153.068612066615,0.540741086006165,sphere,4
269,728,221,61,60.2411819273161,609,25.6904651573303,Ribosome,60.2411819273161,0.539666414260864,sphere,4
636,403,348,,,1357,190.057885919001,,,0.538088440895081,sphere,4
906,334,224,,,1457,382.179277303205,,,0.537693679332733,sphere,4
625,76,282,,,140,300.269878609227,,,0.537478804588318,sphere,4
183,415,282,1551,180.643294921234,163,103.658091821141,Ribosome,107.018689956474,0.537259697914124,sphere,4
920,237,187,,,1457,480.760855311661,,,0.536242067813873,sphere,4
850,284,237,,,113,410.153629753535,,,0.536207675933838,sphere,4
804,783,204,402,46.8401537145215,131,33.6154726279432,Ribosome,46.8401537145215,0.535578787326813,sphere,4
661,712,199,814,85.258430668175,554,18.3575597506858,Ribosome,85.258430668175,0.534543991088867,sphere,4
805,280,227,,,749,365.82236126295,,,0.534495055675507,sphere,4
819,834,314,1612,9.53939201416946,1612,9.53939201416946,Ribosome,9.53939201416946,0.534267127513886,sphere,4
656,84,218,,,340,310.596200878246,,,0.534142374992371,sphere,4
453,687,310,1300,57.1751694356912,1540,18.4932420089069,Ribosome,57.1751694356912,0.533119678497315,sphere,4
802,275,281,,,745,374.199144841353,,,0.532632648944855,sphere,4
140,69,295,,,252,339.455446266517,,,0.531887948513031,sphere,4
497,351,292,,,1182,82.4621125123532,,,0.529190063476563,sphere,4
668,57,278,,,140,344.517053278934,,,0.528831899166107,sphere,4
644,600,313,517,125.291659738388,214,58.489315263559,FAS,73.191529564561,0.528629243373871,sphere,4
654,426,307,,,1357,186.77794302326,,,0.528551936149597,sphere,4
710,472,178,,,339,185.083764820148,,,0.528204917907715,sphere,4
697,362,205,,,338,241.223962325471,,,0.528138220310211,sphere,4
665,93,240,,,340,314.015923163142,,,0.528086125850678,sphere,4
198,217,251,,,253,214.986046058808,,,0.527998149394989,sphere,4
349,207,192,,,1645,121.202310209006,,,0.527884662151337,sphere,4
479,146,168,,,752,160.592652384846,,,0.527774572372437,sphere,4
848,420,265,,,1120,294.231201608531,,,0.527355492115021,sphere,4
497,237,299,,,140,104.699570199691,,,0.52552729845047,sphere,4
789,35,249,,,340,446.726985976894,,,0.525151491165161,sphere,4
92,404,259,675,252.574741413309,457,172.023254241977,Ribosome,296.408501902358,0.524924039840698,sphere,4
675,324,289,,,338,247.94555854058,,,0.524711191654205,sphere,4
152,770,411,900,105.252078364277,743,48.7442304278158,Ribosome,105.252078364277,0.524679362773895,sphere,4
835,466,272,,,1120,246.125984000064,,,0.524372696876526,sphere,4
588,599,328,1417,145.43039572249,1057,28.2311884269862,FAS,50.4479930225178,0.523850739002228,sphere,4
262,478,366,1037,113.608978518425,955,48.3321838943783,Ribosome,113.608978518425,0.52384889125824,sphere,4
480,551,214,1411,19.3390796058137,1411,19.3390796058137,Ribosome,19.3390796058137,0.523401379585266,sphere,4
642,249,279,,,749,231.287699629704,,,0.523321270942688,sphere,4
210,366,312,524,145.499140890935,1565,114.904308013233,Ribosome,145.499140890935,0.522927343845367,sphere,4
811,296,172,,,749,367.63160908714,,,0.522848725318909,sphere,4
843,312,261,,,339,386.990955966674,,,0.522824764251709,sphere,4
20,807,342,1483,4.35889894354067,1483,4.35889894354067,Ribosome,4.35889894354067,0.522715091705322,sphere,4
74,748,322,1352,20.2237484161567,958,14.247806848775,Ribosome,20.2237484161567,0.522534370422363,sphere,4
600,741,334,1101,51.662365412358,1507,23.259406699226,Ribosome,51.662365412358,0.522520899772644,sphere,4
831,565,326,,,1120,157.616623488768,,,0.522501409053803,sphere,4
805,226,237,,,749,376.390754402921,,,0.522327423095703,sphere,4
704,85,241,,,340,348.729121238821,,,0.522247791290283,sphere,4
935,393,262,,,1457,325.282953749501,,,0.521853029727936,sphere,4
929,183,232,,,749,505.586787802055,,,0.521669328212738,sphere,4
633,100,131,,,752,283.30372394305,,,0.521015286445618,sphere,4
335,845,422,1184,103.402127637685,1215,93.8189746266713,Ribosome,103.402127637685,0.520429193973541,sphere,4
828,656,283,1494,82.0853214649245,257,71.4282857137143,Ribosome,82.0853214649245,0.520428061485291,sphere,4
675,81,134,,,752,325.989263626887,,,0.519994676113129,sphere,4
455,160,159,,,752,142.495613967589,,,0.519988059997559,sphere,4
59,25,240,,,252,431.307315031869,,,0.519289791584015,sphere,4
708,463,481,,,1137,254.104309290496,,,0.519171476364136,sphere,4
205,215,218,,,838,209.153054005912,,,0.518908083438873,sphere,4
179,239,223,,,838,221.24194900606,,,0.518888175487518,sphere,4
158,532,225,767,85.0529246998597,306,43.7378554572581,Ribosome,85.0529246998597,0.518807768821716,sphere,4
597,401,280,,,1498,144.879260075416,,,0.518796920776367,sphere,4
504,55,265,,,140,248.469314000743,,,0.518775641918182,sphere,4
665,634,464,757,212.384086032829,1137,136.506410105899,Ribosome,212.384086032829,0.518598258495331,sphere,4
51,234,308,,,1565,320.789650705879,,,0.518545746803284,sphere,4
713,233,291,,,749,302.607005867346,,,0.51833438873291,sphere,4
853,497,269,,,1120,223.136729383578,,,0.518231749534607,sphere,4
766,264,268,,,749,337.834278900173,,,0.518037915229797,sphere,4
897,832,311,520,36.8239052790439,1462,20.5182845286832,Ribosome,36.8239052790439,0.517845213413239,sphere,4
394,449,232,117,78.8098978555359,626,19.4422220952236,Ribosome,78.8098978555359,0.517392873764038,sphere,4
366,132,171,,,340,181.022098098547,,,0.517372727394104,sphere,4
708,541,254,370,167.86303941011,1219,128.530152104477,Ribosome,167.86303941011,0.517305731773377,sphere,4
938,473,283,,,175,248.171311798927,,,0.517110049724579,sphere,4
769,354,262,,,339,306.719741783929,,,0.517082691192627,sphere,4
326,329,246,1581,162.508461318173,1121,56.0178542966437,Ribosome,162.508461318173,0.516876935958862,sphere,4
48,796,346,1326,35.9165699921359,1147,21.5638586528478,Ribosome,35.9165699921359,0.516858220100403,sphere,4
842,395,250,,,477,317.379898544316,,,0.516609489917755,sphere,4
852,482,214,,,1457,243.263231911442,,,0.516245067119598,sphere,4
73,214,262,,,734,319.915613873409,,,0.515978813171387,sphere,4
465,82,204,,,140,219.266960575459,,,0.515423059463501,sphere,4
921,402,243,,,1457,314.383523741306,,,0.515019476413727,sphere,4
434,303,274,,,140,31.0483493925201,,,0.51426774263382,sphere,4
833,766,257,406,52.7446679769624,486,13.6381816969859,Ribosome,52.7446679769624,0.513977468013763,sphere,4
491,564,317,1473,64.1560597293818,196,15.1657508881031,Ribosome,64.1560597293818,0.513644635677338,sphere,4
632,150,464,,,252,325.883414736006,,,0.513500988483429,sphere,4
915,153,259,,,749,504.629567108389,,,0.513468980789185,sphere,4
129,823,350,782,32.0312347560939,874,26.2678510731274,Ribosome,32.0312347560939,0.513430714607239,sphere,4
225,411,220,589,96.7367561994922,1599,79.4480962641648,Ribosome,96.7367561994922,0.513222694396973,sphere,4
832,379,199,,,764,332.186694495731,,,0.51318371295929,sphere,4
900,738,51,,,561,171.874954545449,,,0.512887835502625,sphere,4
