x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
151,773,403,,,743,41.3037528561268,,,0.343823552131653,emd3228,10
776,788,206,,,402,33.0302891298275,,,0.314791738986969,emd3228,10
334,848,432,,,1215,102.24480426897,,,0.304610162973404,emd3228,10
451,44,363,,,252,259.942301290113,,,0.297898232936859,emd3228,10
279,502,372,,,955,51.4295634824952,,,0.297285497188568,emd3228,10
252,489,370,,,955,54.5985347788748,,,0.295458942651749,emd3228,10
840,909,405,,,1033,57.3585215988,,,0.294940978288651,emd3228,10
485,785,389,,,878,48.8364617882991,,,0.289068222045898,emd3228,10
327,897,404,,,1233,77.8524244966077,,,0.28789409995079,emd3228,10
314,806,420,,,1215,80.3367910735797,,,0.28343066573143,emd3228,10
308,17,131,,,340,313.904444059016,,,0.275717854499817,emd3228,10
436,64,333,,,252,229.793385457458,,,0.27312633395195,emd3228,10
327,20,116,,,752,306.382114360483,,,0.269448012113571,emd3228,10
290,112,139,,,1645,238.556073072978,,,0.269361704587936,emd3228,10
914,744,197,,,561,26.4764045897475,,,0.267478197813034,emd3228,10
312,78,140,,,340,256.776167118368,,,0.26661816239357,emd3228,10
876,741,197,,,99,40.5092582010582,,,0.266596466302872,emd3228,10
641,396,345,,,1357,197.65879692035,,,0.264989823102951,emd3228,10
812,756,196,,,653,40.4598566482878,,,0.264496505260468,emd3228,10
315,836,430,,,1215,89.8610037780571,,,0.263572871685028,emd3228,10
439,885,434,,,781,82.2496200599128,,,0.262849539518356,emd3228,10
640,425,348,,,1357,180.072207739007,,,0.261151820421219,emd3228,10
888,446,160,,,1457,279.937493022996,,,0.260834634304047,emd3228,10
327,844,408,,,1215,78.0960946526777,,,0.259371876716614,emd3228,10
913,629,180,,,1457,99.443451267542,,,0.259228199720383,emd3228,10
319,18,98,,,752,314.728454385682,,,0.258121371269226,emd3228,10
770,78,305,,,140,417.09711099455,,,0.257475674152374,emd3228,10
145,793,423,,,743,66.6483308118065,,,0.256365835666657,emd3228,10
841,792,202,,,818,24.0624188310319,,,0.256119877099991,emd3228,10
604,32,121,,,752,320.240534598605,,,0.255893915891647,emd3228,10
620,620,366,,,1137,40.853396431631,,,0.255718111991882,emd3228,10
