x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
856,910,426,,,942,82.1583836257749,,,0.425421983003616,emoji,12
842,910,399,,,1033,52.3545604508337,,,0.409038603305817,emoji,12
150,774,400,,,743,38.5356977359954,,,0.371878772974014,emoji,12
440,886,421,,,781,69.4406221170289,,,0.3681880235672,emoji,12
31,911,279,,,1446,59.4053869611166,,,0.366556107997894,emoji,12
276,504,368,,,955,48.1248376620639,,,0.358161628246307,emoji,12
311,911,411,,,1233,95.4986910905066,,,0.350485891103745,emoji,12
24,909,261,,,7,59.1692487699481,,,0.33205571770668,emoji,12
25,909,303,,,1446,44.1474801092882,,,0.33170810341835,emoji,12
813,753,197,653,39.3700393700591,653,39.3700393700591,Ribosome,39.3700393700591,0.330188751220703,emoji,12
641,428,347,,,1051,178.857485166263,,,0.328878164291382,emoji,12
307,16,125,,,752,316.324200781414,,,0.327182292938232,emoji,12
444,869,403,,,781,52.8488410468953,,,0.32633712887764,emoji,12
486,786,386,,,878,46.6690475583121,,,0.322601705789566,emoji,12
875,739,196,,,99,40.6078810084939,,,0.322373688220978,emoji,12
799,623,184,,,1620,130.824309667584,,,0.32180255651474,emoji,12
325,898,399,,,1233,75.3989389845772,,,0.309518724679947,emoji,12
358,827,400,,,1636,72.034713853808,,,0.309138149023056,emoji,12
316,806,427,,,1215,87.4585616163449,,,0.305692344903946,emoji,12
221,851,409,,,346,48.3114893167247,,,0.304886847734451,emoji,12
332,100,131,,,752,229.934773359751,,,0.302661716938019,emoji,12
144,789,421,,,743,63.1901891119183,,,0.301097124814987,emoji,12
331,847,427,,,1215,96.3587048480831,,,0.296884000301361,emoji,12
328,20,121,,,752,305.198296194458,,,0.293321371078491,emoji,12
435,68,319,,,252,222.697103708153,,,0.292910754680634,emoji,12
324,841,407,,,1215,74.8331477354788,,,0.290244817733765,emoji,12
251,843,398,,,346,41.7013189239861,,,0.287499994039536,emoji,12
61,908,332,,,404,30.4302481094059,,,0.28673130273819,emoji,12
289,108,142,,,1645,241.816045786875,,,0.285798341035843,emoji,12
303,894,428,,,346,101.400197238467,,,0.284416496753693,emoji,12
450,46,358,,,252,256.265487336863,,,0.282836377620697,emoji,12
253,487,370,,,955,54.2033209314706,,,0.282714247703552,emoji,12
763,696,195,,,913,74.7395477642192,,,0.281347215175629,emoji,12
765,698,210,,,913,60.1082357085949,,,0.276096493005753,emoji,12
640,395,345,,,1357,197.572771403349,,,0.276089519262314,emoji,12
776,706,194,,,1342,69.8999284692052,,,0.274611383676529,emoji,12
380,830,395,,,1448,62.2976725086901,,,0.270902931690216,emoji,12
640,382,352,,,1357,207.665596572952,,,0.269694417715073,emoji,12
307,816,400,,,1215,57.9913786695919,,,0.269497454166412,emoji,12
313,835,421,,,1215,80.7031597894407,,,0.268830716609955,emoji,12
912,629,178,,,1457,100.468900660851,,,0.266022801399231,emoji,12
537,87,316,,,140,240.484926762573,,,0.26279816031456,emoji,12
880,631,183,,,1457,103.048532255438,,,0.256071031093597,emoji,12
774,784,204,,,1275,36.0277670693036,,,0.253557562828064,emoji,12
857,698,201,,,99,45.1995575199581,,,0.250239670276642,emoji,12
355,850,390,,,530,58.9321643926303,,,0.248605445027351,emoji,12
265,562,316,1409,5.47722557505166,1409,5.47722557505166,Ribosome,5.47722557505166,0.245252206921577,emoji,12
619,620,360,,,1137,37.1752605908822,Ribosome,37.1752605908822,0.243404194712639,emoji,12
155,903,267,,,31,30.8058436014987,,,0.238536506891251,emoji,12
924,600,175,,,1457,127.726269811656,,,0.238116234540939,emoji,12
307,79,132,,,752,259.909599668808,,,0.237880170345306,emoji,12
661,712,209,554,8.77496438739212,554,8.77496438739212,Ribosome,8.77496438739212,0.237250491976738,emoji,12
603,31,121,,,752,320.562006482365,,,0.235057517886162,emoji,12
542,106,311,,,140,226.914080656093,,,0.234443634748459,emoji,12
825,578,178,,,99,164.176734039875,,,0.232749313116074,emoji,12
98,895,264,763,4.47213595499958,763,4.47213595499958,Ribosome,4.47213595499958,0.232529163360596,emoji,12
292,831,392,,,1215,46.7867502611583,,,0.230518460273743,emoji,12
347,393,307,362,3,362,3,Ribosome,3,0.229021340608597,emoji,12
798,852,233,1408,4.35889894354067,1408,4.35889894354067,Ribosome,4.35889894354067,0.22775112092495,emoji,12
157,760,336,1500,3.3166247903554,1500,3.3166247903554,Ribosome,3.3166247903554,0.227243572473526,emoji,12
86,831,321,1455,10.2469507659596,410,6.08276253029822,Ribosome,10.2469507659596,0.227150499820709,emoji,12
132,907,314,,,1153,37.1348892552543,,,0.226180851459503,emoji,12
895,668,185,,,1457,68.0955211449329,,,0.226165845990181,emoji,12
337,625,209,1305,4.12310562561766,1305,4.12310562561766,Ribosome,4.12310562561766,0.225783780217171,emoji,12
259,651,305,1434,9.48683298050514,736,4.47213595499958,Ribosome,9.48683298050514,0.224839255213738,emoji,12
98,902,348,,,882,39.9124040869502,,,0.224060475826263,emoji,12
377,416,285,247,13.6381816969859,1419,4.35889894354067,Ribosome,13.6381816969859,0.224003493785858,emoji,12
266,795,306,1416,9.38083151964686,1416,9.38083151964686,Ribosome,9.38083151964686,0.223713308572769,emoji,12
927,709,189,799,40.1746188532013,799,40.1746188532013,Ribosome,40.1746188532013,0.222931832075119,emoji,12
887,448,160,,,1457,278.115084092899,,,0.222857117652893,emoji,12
323,853,249,121,2.44948974278318,121,2.44948974278318,Ribosome,2.44948974278318,0.221088781952858,emoji,12
429,806,330,1465,2,1465,2,Ribosome,2,0.219668850302696,emoji,12
879,801,301,1591,3.74165738677394,1591,3.74165738677394,Ribosome,3.74165738677394,0.218294963240623,emoji,12
451,881,277,1497,3,1497,3,Ribosome,3,0.218267142772675,emoji,12
827,701,213,,,1485,55.145262715849,,,0.218183472752571,emoji,12
915,712,227,1457,4.58257569495584,1457,4.58257569495584,Ribosome,4.58257569495584,0.21713387966156,emoji,12
411,712,260,1415,8.06225774829855,1415,8.06225774829855,Ribosome,8.06225774829855,0.216991990804672,emoji,12
391,780,335,485,3.16227766016838,485,3.16227766016838,Ribosome,3.16227766016838,0.216086387634277,emoji,12
489,313,166,,,749,47.2228758124704,,,0.215933501720428,emoji,12
202,707,251,1333,7.07106781186548,1333,7.07106781186548,Ribosome,7.07106781186548,0.215325593948364,emoji,12
847,806,325,1505,6.48074069840786,1505,6.48074069840786,Ribosome,6.48074069840786,0.21458700299263,emoji,12
667,828,229,1412,2.44948974278318,1412,2.44948974278318,Ribosome,2.44948974278318,0.214138641953468,emoji,12
658,664,284,1479,4.24264068711929,1479,4.24264068711929,Ribosome,4.24264068711929,0.213559657335281,emoji,12
319,616,281,388,2.82842712474619,388,2.82842712474619,Ribosome,2.82842712474619,0.212749615311623,emoji,12
836,745,290,156,5.47722557505166,156,5.47722557505166,Ribosome,5.47722557505166,0.212305769324303,emoji,12
448,467,300,579,3,579,3,Ribosome,3,0.212193846702576,emoji,12
767,79,303,,,140,413.828466879696,,,0.212167516350746,emoji,12
546,697,324,1319,6.40312423743285,1319,6.40312423743285,Ribosome,6.40312423743285,0.212115496397018,emoji,12
88,815,257,389,9.48683298050514,733,5.09901951359278,Ribosome,9.48683298050514,0.212038770318031,emoji,12
627,906,227,1324,4.58257569495584,1324,4.58257569495584,Ribosome,4.58257569495584,0.212038338184357,emoji,12
236,696,290,732,1.4142135623731,732,1.4142135623731,Ribosome,1.4142135623731,0.211943030357361,emoji,12
803,660,202,,,558,91.8803569866813,,,0.210942879319191,emoji,12
569,645,281,1504,3.16227766016838,1504,3.16227766016838,Ribosome,3.16227766016838,0.21086448431015,emoji,12
708,738,330,1460,1.73205080756888,1460,1.73205080756888,Ribosome,1.73205080756888,0.2108014523983,emoji,12
392,585,277,1487,11.0453610171873,1487,11.0453610171873,Ribosome,11.0453610171873,0.210605323314667,emoji,12
278,489,321,955,1.4142135623731,955,1.4142135623731,Ribosome,1.4142135623731,0.21039517223835,emoji,12
341,507,310,1521,8.24621125123532,740,5.09901951359278,Ribosome,8.24621125123532,0.209981247782707,emoji,12
395,520,319,385,2.23606797749979,385,2.23606797749979,Ribosome,2.23606797749979,0.209786728024483,emoji,12
826,813,304,1345,6.40312423743285,1345,6.40312423743285,Ribosome,6.40312423743285,0.209437668323517,emoji,12
427,539,280,1320,4,1320,4,Ribosome,4,0.208641290664673,emoji,12
502,657,295,101,2.23606797749979,101,2.23606797749979,Ribosome,2.23606797749979,0.208569422364235,emoji,12
261,795,290,353,3.74165738677394,353,3.74165738677394,Ribosome,3.74165738677394,0.208504512906075,emoji,12
243,517,220,723,6.16441400296898,723,6.16441400296898,Ribosome,6.16441400296898,0.208475381135941,emoji,12
349,815,321,1512,20.976176963403,77,7.68114574786861,Ribosome,20.976176963403,0.208396568894386,emoji,12
32,694,347,1406,3,1406,3,Ribosome,3,0.20826356112957,emoji,12
16,706,348,1340,3.3166247903554,1340,3.3166247903554,Ribosome,3.3166247903554,0.208212465047836,emoji,12
405,717,308,1300,1,1300,1,Ribosome,1,0.207910254597664,emoji,12
289,702,238,332,11.0905365064094,300,4,Ribosome,11.0905365064094,0.207810968160629,emoji,12
