x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
842,910,408,,,1033,60.8604962188118,,,0.351724207401276,sphere,9
151,774,399,,,743,37.6961536499415,,,0.330785870552063,sphere,9
277,504,368,,,955,48.0936586256442,,,0.301419973373413,sphere,9
326,898,402,,,1233,77.0129859179606,,,0.291510671377182,sphere,9
876,739,196,,,99,40.6939798987516,,,0.283075422048569,sphere,9
858,912,430,,,942,86.2902080192185,,,0.27833679318428,sphere,9
308,16,129,,,340,315.165036131865,,,0.27702209353447,sphere,9
619,619,361,,,1137,38.4967531098403,,,0.272133469581604,sphere,9
253,488,373,,,955,56.8330889535313,,,0.267512261867523,sphere,9
334,849,436,,,1215,105.853672586264,,,0.266046762466431,sphere,9
289,109,141,,,1645,241.165917990084,,,0.264700949192047,sphere,9
313,909,412,,,1233,94.4933860119321,,,0.264446586370468,sphere,9
776,787,208,,,1275,31.7647603485372,,,0.256860584020615,sphere,9
146,792,423,,,743,66.2117814289874,,,0.253862768411636,sphere,9
814,752,195,,,653,41.3037528561268,,,0.250540733337402,sphere,9
329,19,122,,,752,305.609227609377,,,0.250226199626923,sphere,9
315,805,423,,,1215,83.6241591885981,,,0.250131905078888,sphere,9
450,43,355,,,252,258.120127072648,,,0.248647570610046,sphere,9
304,894,429,,,346,102.72292830717,,,0.247413039207459,sphere,9
486,784,387,,,878,48.4458460551573,,,0.247297927737236,sphere,9
438,888,429,,,781,77.7817459305202,,,0.246752381324768,sphere,9
324,841,406,,,1215,74.0337760755184,,,0.244409844279289,sphere,9
382,828,391,,,1448,57.4543296888929,,,0.241850048303604,sphere,9
800,625,179,,,1620,132.909743811355,,,0.241610765457153,sphere,9
641,431,345,,,1051,176.683332547244,,,0.24008996784687,sphere,9
769,78,303,,,140,416.051679482249,,,0.238033518195152,sphere,9
828,701,214,,,99,53.9629502529282,,,0.236790925264359,sphere,9
331,103,127,,,752,228.481946770418,,,0.236639633774757,sphere,9
318,19,97,,,752,314.434412874927,,,0.236305981874466,sphere,9
330,637,273,344,3.3166247903554,344,3.3166247903554,Ribosome,3.3166247903554,0.235342934727669,sphere,9
471,566,216,1411,2,1411,2,Ribosome,2,0.234230771660805,sphere,9
931,835,244,387,4.24264068711929,387,4.24264068711929,Ribosome,4.24264068711929,0.233279377222061,sphere,9
117,653,308,1501,4.69041575982343,1501,4.69041575982343,Ribosome,4.69041575982343,0.232801213860512,sphere,9
316,838,424,,,1215,85.0999412455732,,,0.232297137379646,sphere,9
663,773,225,298,6.08276253029822,298,6.08276253029822,Ribosome,6.08276253029822,0.231674373149872,sphere,9
928,709,189,,,799,39.9374510954317,,,0.230421915650368,sphere,9
34,695,347,1406,2.44948974278318,1406,2.44948974278318,Ribosome,2.44948974278318,0.229166865348816,sphere,9
163,574,281,515,3.74165738677394,515,3.74165738677394,Ribosome,3.74165738677394,0.228687629103661,sphere,9
603,31,118,,,752,321.024921150991,,,0.228624731302261,sphere,9
292,832,393,,,1215,47.9687398208458,,,0.227713882923126,sphere,9
668,751,296,1466,3.16227766016838,1466,3.16227766016838,Ribosome,3.16227766016838,0.227701097726822,sphere,9
252,842,402,,,346,45.8366665454634,,,0.22603665292263,sphere,9
914,629,180,,,1457,99.4082491546854,,,0.225847721099854,sphere,9
434,70,319,,,252,220.610516521765,,,0.225847035646439,sphere,9
429,807,325,1465,5.09901951359278,1465,5.09901951359278,Ribosome,5.09901951359278,0.225420787930489,sphere,9
220,851,408,,,790,47.3919824442911,,,0.224821969866753,sphere,9
652,226,142,,,752,229.301112077548,,,0.224526882171631,sphere,9
359,827,403,,,1636,74.4916102658548,,,0.22401961684227,sphere,9
543,107,312,,,140,226.911877168208,,,0.223967552185059,sphere,9
523,683,230,1496,6.08276253029822,1496,6.08276253029822,Ribosome,6.08276253029822,0.223353490233421,sphere,9
40,798,305,1432,4.89897948556636,1432,4.89897948556636,Ribosome,4.89897948556636,0.223323345184326,sphere,9
459,878,442,,,781,88.1476034841561,,,0.22288478910923,sphere,9
756,841,263,464,4.12310562561766,464,4.12310562561766,Ribosome,4.12310562561766,0.222343400120735,sphere,9
440,689,214,833,2.23606797749979,833,2.23606797749979,Ribosome,2.23606797749979,0.222286581993103,sphere,9
342,508,311,740,4.12310562561766,740,4.12310562561766,Ribosome,4.12310562561766,0.220752269029617,sphere,9
158,761,336,1500,3,1500,3,Ribosome,3,0.220391660928726,sphere,9
308,818,401,,,1215,59.1692487699481,,,0.220374822616577,sphere,9
236,697,289,732,1.4142135623731,732,1.4142135623731,Ribosome,1.4142135623731,0.220021337270737,sphere,9
940,736,302,1311,31.5911379978626,324,11.0905365064094,Ribosome,31.5911379978626,0.219502136111259,sphere,9
