x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
839,909,396,,,1033,48.4767985741633,,,0.319472521543503,emd3228,13
857,910,427,,,942,83.1504660239496,,,0.304550141096115,emd3228,13
438,886,426,,,781,74.786362393153,,,0.284082591533661,emd3228,13
150,774,396,,,743,34.7131099154196,,,0.282070398330689,emd3228,13
276,502,372,,,955,51.4587213210744,,,0.263930529356003,emd3228,13
442,887,404,,,781,52.6497863243527,,,0.261808544397354,emd3228,13
812,752,195,653,41.545156155682,653,41.545156155682,Ribosome,41.545156155682,0.259345024824142,emd3228,13
332,846,430,,,1215,99.0858213873206,,,0.252407491207123,emd3228,13
798,623,184,,,1620,130.038455850568,,,0.250762939453125,emd3228,13
873,738,190,,,99,45.8911756223351,,,0.250759392976761,emd3228,13
640,430,346,,,1051,176.686162446299,,,0.246178343892097,emd3228,13
455,883,435,,,781,81.0555365166378,,,0.239072769880295,emd3228,13
310,912,412,,,1233,97.0927391724016,,,0.238682225346565,emd3228,13
313,804,415,,,1215,75.8551250740515,,,0.237072989344597,emd3228,13
326,899,400,,,1233,75.591004755857,,,0.236172929406166,emd3228,13
449,46,357,,,252,255.761607752219,,,0.234116494655609,emd3228,13
326,15,119,,,752,310.832752457009,,,0.231932908296585,emd3228,13
436,65,328,,,252,227.642263211382,,,0.22802010178566,emd3228,13
332,101,133,,,752,228.737841206915,,,0.226993411779404,emd3228,13
762,697,197,,,913,72.4844810976805,,,0.225328221917152,emd3228,13
357,828,400,,,1636,72.6842486375143,,,0.224287956953049,emd3228,13
147,787,425,,,743,66.1362230551458,,,0.223052322864532,emd3228,13
487,784,389,,,878,50.2991053598372,,,0.222358733415604,emd3228,13
323,843,407,,,1215,74.8665479369792,,,0.217688873410225,emd3228,13
772,787,207,,,1275,31.7804971641414,,,0.215392917394638,emd3228,13
251,486,372,,,955,56.9649014745045,,,0.215172067284584,emd3228,13
222,850,411,,,346,50.1198563445667,,,0.214855834841728,emd3228,13
306,87,131,,,752,253.773521077358,,,0.214157447218895,emd3228,13
303,895,431,,,346,103.701494685467,,,0.213611200451851,emd3228,13
638,384,353,,,1357,205.119477378429,,,0.213091924786568,emd3228,13
880,632,183,,,1457,102.225241501304,,,0.197874084115028,emd3228,13
251,843,402,,,346,45.1109742745599,,,0.197816044092178,emd3228,13
306,820,401,,,1215,58.3180932472933,,,0.197799935936928,emd3228,13
315,833,427,,,1215,86.6314030822542,,,0.194212734699249,emd3228,13
601,32,122,,,752,318.53728196241,,,0.191667497158051,emd3228,13
659,712,205,554,13,554,13,Ribosome,13,0.191380456089973,emd3228,13
857,697,204,,,99,43.692104549907,,,0.190958216786385,emd3228,13
289,108,141,,,1645,242.02066027511,,,0.190578207373619,emd3228,13
927,708,189,799,40.6078810084939,799,40.6078810084939,Ribosome,40.6078810084939,0.189685359597206,emd3228,13
619,621,364,,,1137,38.6134691526156,Ribosome,38.6134691526156,0.188824698328972,emd3228,13
