x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
252,488,371,,,955,55.5067563455117,,,0.350268572568893,sphere,8
619,619,364,,,1137,40.137264480779,,,0.329329252243042,sphere,8
841,910,408,,,1033,60.5722708836312,,,0.32054004073143,sphere,8
290,110,139,,,1645,240.260275534679,,,0.313889384269714,sphere,8
857,912,421,,,942,77.3175271203108,,,0.310233384370804,sphere,8
151,773,401,,,743,39.3700393700591,,,0.306755125522614,sphere,8
327,897,402,,,1233,76.2954782408499,,,0.306517958641052,sphere,8
775,787,204,,,402,35.0570962859162,,,0.304278284311295,sphere,8
333,847,431,,,1215,100.662803457881,,,0.296227306127548,sphere,8
769,78,303,,,140,416.051679482249,,,0.295369446277618,sphere,8
485,784,387,,,878,47.9791621435806,,,0.294324994087219,sphere,8
451,44,353,,,252,256.768378115375,,,0.290639489889145,sphere,8
329,40,132,,,340,284.835039979284,,,0.286237686872482,sphere,8
145,792,422,,,743,65.3146231712317,,,0.285277724266052,sphere,8
888,445,161,,,1457,280.661718087808,,,0.284857720136642,sphere,8
279,501,376,,,955,55.1180551180827,,,0.282958388328552,sphere,8
843,896,388,,,1033,43.6463056855904,,,0.278332889080048,sphere,8
328,18,122,,,752,306.885972308934,,,0.270238071680069,sphere,8
316,807,423,,,1215,83.6420946653059,,,0.267917424440384,sphere,8
603,29,120,,,752,322.398821337796,,,0.266993522644043,sphere,8
305,894,426,,,346,101.518471225684,,,0.26594066619873,sphere,8
310,18,122,,,752,313.730776303505,,,0.262896209955215,sphere,8
315,835,428,,,1215,87.8521485223896,,,0.261932671070099,sphere,8
355,847,392,,,530,61.3514466007119,,,0.261031061410904,sphere,8
913,629,181,,,1457,98.9646401499041,,,0.258331894874573,sphere,8
811,755,196,,,653,40.6078810084939,,,0.258038818836212,sphere,8
875,739,199,,,99,37.8153408023781,,,0.256252884864807,sphere,8
892,815,296,1462,6.16441400296898,1462,6.16441400296898,Ribosome,6.16441400296898,0.254236906766892,sphere,8
438,887,432,,,781,80.6225774829855,,,0.253724873065949,sphere,8
311,76,136,,,340,259.728704613102,,,0.253423064947128,sphere,8
314,909,414,,,1233,95.3205119583398,,,0.252875179052353,sphere,8
322,839,409,,,1215,74.9132832013122,,,0.250158965587616,sphere,8
857,912,436,,,942,92.2659200355147,,,0.250026404857636,sphere,8
409,496,229,479,3.16227766016838,479,3.16227766016838,Ribosome,3.16227766016838,0.245940998196602,sphere,8
652,225,144,,,752,229.403574514435,,,0.245350569486618,sphere,8
554,339,161,,,745,111.897274318904,,,0.245008572936058,sphere,8
703,853,309,1433,3.3166247903554,1433,3.3166247903554,Ribosome,3.3166247903554,0.244027763605118,sphere,8
521,213,321,,,140,143.282936876657,,,0.243976071476936,sphere,8
723,838,324,986,7.81024967590665,1286,5.3851648071345,Ribosome,7.81024967590665,0.24395939707756,sphere,8
308,819,401,,,1215,59.1269819963779,,,0.243657678365707,sphere,8
433,70,318,,,252,220.274828339509,,,0.242901757359505,sphere,8
490,314,159,,,749,50.60632371552,,,0.242403417825699,sphere,8
317,20,93,,,752,314.860286476399,,,0.241860121488571,sphere,8
639,424,347,,,1357,179.602338514842,,,0.240560740232468,sphere,8
841,792,199,,,818,26.944387170615,,,0.240151330828667,sphere,8
944,331,143,,,1457,395.194888630913,,,0.239981725811958,sphere,8
640,393,340,,,1357,198.015150935478,,,0.239541307091713,sphere,8
825,581,176,,,99,162.200493217499,,,0.238281860947609,sphere,8
360,828,402,,,1636,73.8782782690555,,,0.237397104501724,sphere,8
405,546,327,1503,1.4142135623731,1503,1.4142135623731,Ribosome,1.4142135623731,0.237345606088638,sphere,8
554,819,337,941,3,941,3,Ribosome,3,0.237314015626907,sphere,8
218,852,409,,,790,47.8957200593122,,,0.237233608961105,sphere,8
641,387,355,,,1357,205.655050995593,,,0.23697704076767,sphere,8
594,91,129,,,752,265.233859075345,,,0.236409485340118,sphere,8
384,828,388,,,1448,54.3507129668048,,,0.235429674386978,sphere,8
331,104,134,,,752,226.428796755183,,,0.235400900244713,sphere,8
799,625,192,,,1120,123.68912644206,,,0.235233321785927,sphere,8
815,160,126,,,752,405.726508870199,,,0.234889432787895,sphere,8
914,744,198,,,561,25.5734237050888,,,0.231886669993401,sphere,8
451,884,276,1497,5,1497,5,Ribosome,5,0.231625914573669,sphere,8
441,869,401,,,781,51.9037570894439,,,0.231525808572769,sphere,8
648,865,236,1594,6,1594,6,Ribosome,6,0.230111286044121,sphere,8
371,857,325,530,9.21954445729289,530,9.21954445729289,FAS,23.5372045918796,0.22977389395237,sphere,8
